listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo
Hakkiasan Junmai Ginjo 55 純米吟醸 八海山 55％,65c62d54876f110ab72a29e6,OB,Japan,Sake,Junmai Ginjo,NAS,15.50%,-,綺麗でキレのある味わいの中にも米の旨みを表現した純米吟醸酒. 綺麗ですっきりとした味わいの中にも、ほのかな酸味、味わいの骨格をしっかり感じる酒です。料理の旨みと酒の旨みが口の中でふくらみながら融合し、酒と料理がお互いを引き立てあい季節ごとに様々なペアリングが楽しめます。,,
Hakkaisan Uonuma de Sourou Junmai 純米酒 八海山 魚沼で候,65c62d54876f110ab72a29e6,OB,Japan,Sake,Junmai,NAS,15.50%,-,魚沼地域のみに提供させていただく清酒です. 魚沼地域に暮らす、または他の地域から魚沼へ訪れたお客様に、魚沼の豊かさ素晴らしさを感じていただきたいという想いからつくった魚沼地域限定販売のお酒です。芳醇にして上品な味わいで、魚沼ならではの季節のうつろいに合わせて、冷やしても温めても、お好みの温度でお召し上がりください。,,
Hakkaisan Sparkling Nigori 発泡にごり酒 八海山,65c62d54876f110ab72a29e6,OB,Japan,Sake,Sparkling Nigori,NAS,15.00%,-,さわやかな酸味と華やかな香り、炭酸の泡が口の中で心地よくはじけます。きれいですっきりとした後味の発泡にごり酒です。食前酒としてもお勧めですが、濃厚な味のお料理や、スパイシーなお料理、また、フルーツなどのデザートにあわせていただくのもお勧めです。,,
Hakkaisan Junmai Daiginjo 純米大吟醸 八海山,65c62d54876f110ab72a29e6,OB,Japan,Sake,Junmai Daiginjo,NAS,15.50%,-,透明感のある綺麗な味わいとふわっと広がる上品な甘やかさ.すべて手づくりの麹と、八海山の雪解け水が湧き水となった「雷電様の清水」で醸した純米大吟醸。45％にまで精米した山田錦と五百万石に加え、美山錦を組み合わせることで、純米でありながら八海山らしい、切れのよい飽きの来ない純米酒に仕上げました。透明感のある綺麗な味わいに、ふわっと広がる上品な甘やかさが料理を引き立てる、少し高級な食中酒です。,,
Hakkaisan Junmai Daiginjo Limited Season 純米大吟醸 八海山 時季限定,65c62d54876f110ab72a29e6,OB,Japan,Sake,Junmai Daiginjo,NAS,15.50%,-,冬の期間、ご馳走を囲む華やぎの場で料理を引き立て寄り添う酒です.穏やかな吟醸香とやさしい旨味・酸味を感じながら、瑞々しくフレッシュで凛とした品のある酒質に仕上げました。食中酒としてあらゆる温度帯で楽しめ、大切な人と酌み交わす華やかな食卓にふさわしい八海山です。,,
Ginrei Gassan Setchu Jyukusei Junmai Ginjo 銀嶺月山 雪中熟成 純米吟醸,65c62d54876f110ab72a29cf,OB,Japan,Sake,Junmai Ginjo,NAS,16.00%,(unpublished) https://a49dj2witjtk2qcz-35395109003.shopifypreview.com/blogs/sake/articles?preview_key=da9fea7fa03299b7e734ea2153878932,屋根までとどく豪雪の中で、じっくり熟成させた純米吟醸酒。おだやかな旨み引き出した雪のようななめらかな味わいであります。冷から燗までとお客様のお好みの温度でお楽しみいただけます。,,
Fukumitsuya Kagatobi Gokkan Junmai Dry 加賀鳶 極寒純米 辛口,65c62d54876f110ab72a29ca,OB,Japan,Sake,Junmai,NAS,16.00%,(unpublished) https://byp8w1bipow0dz8h-35395109003.shopifypreview.com/blogs/sake/articles?preview_key=2f4d038ce89b239f82a6f83125cca580,"This is the very standard of the “Kagatobi“. Brewed only with high quality sake rice from our contract farmers, this Junmai sake is brewed in cold winter. Gentle aroma of ripped fruits, steamed rice, fresh in your mouth with gentle acidity and Umami. It's easy to pair with any any type of dish and it can be served from chilled to warmed.",,
Daishichi Minowamon Junmai Daiginjo 大七　箕輪門　純米大吟醸,65c62d54876f110ab72a29a0,OB,Japan,Sake,Junmai Daiginjo,NAS,15.00%,https://88bamboo.co/blogs/sake/a-trio-of-daishichi-sake-junmai-kimoto-classic-minowamon-junmai-daiginjo-masakura-junmai-ginjo,"“Daishichi Minowamon” is a junmai daiginjo made with the kimoto method, using Yamada Nishiki sake rice polished with the superflat rice polishing technique. We have succeeded in eliminating all off-flavors that in the past remained even in rice for daiginjo, and  realized an unprecedented gentle, mellow texture of remarkable delicacy, and a natural, elegant aroma. The level of flat rice polishing we attained was such that the grains became transparent. This even  surprised Mr Tomio Saito, the theorist of the flat rice polishing  method, and made him exclaim: “This is my ideal rice polishing!” Based on that success, we have stopped using the conventional rice polishing method and now only use the superflat rice polishing method for all our products. Daishichi Minowamon has won gold medals in both the ginjo and junmai sections at the Tohoku Sake Awards. Abroad, it has earned the highest praise from world level professionals at the Vinexpo, the largest alcoholic beverage fair in the world held in France, as well as from top-class restaurants in New York.",,
Daishichi Masakura Junmai Ginjo 大七　真桜　純米吟醸,65c62d54876f110ab72a29a0,OB,Japan,Sake,Junmai Ginjo,NAS,15.00%,https://88bamboo.co/blogs/sake/a-trio-of-daishichi-sake-junmai-kimoto-classic-minowamon-junmai-daiginjo-masakura-junmai-ginjo,"Rather than simply attaching the appellation ginjo to a product, we at Daishichi were of the opinion that such a sake would have to carry an unmistakable high class stamp and give the impression of forming its own lineage. Instead of opting for the bottom-up way of product development where we would raise the polishing ratio of one of our products already on the market to produce a “middle level ginjo,” therefore a top-down approach was necessary: stepping down in style and quality to ginjo level from a top class existing product. Of course, during that process we gave its own individual character to Masakura and we took care to create a junmai ginjo with a high grade of perfection typical for Daishichi. The special circumstances of its origin are clear from the character of Daishichi Masakura. While basically being a ginjo, it has a richness and maturity typical for junmai made with the kimoto method, and there is a wide range of ways to drink it, from cold to warm. Also as regards food pairings, it is an almighty sake that fits to the whole meal, from delicate starters to the heavy main dish, and that since its release has been praised by many connoisseurs in various settings. What if you were allowed to bring only one bottle to a desert island? We recommend this sake.",,
Daishichi Junmai Kimoto CLASSIC 大七　純米生もとCLASSIC,65c62d54876f110ab72a299d,OB,Japan,Sake,Junmai,NAS,15.00%,https://88bamboo.co/blogs/sake/a-trio-of-daishichi-sake-junmai-kimoto-classic-minowamon-junmai-daiginjo-masakura-junmai-ginjo,"Do we unconsciously think of sake  as a pyramid with a hierarchical order and junmai daiginjo at the top?  If so, we might also assume that the closer the sake is to ginjo, the  better the sake, and that ""good junmai sake"" should be something like junmai ginjo.",,
Kamoshibito Kuheiji EAU DU DÉSIR 2021 Junmai Daiginjo 醸し人九平次 EAU DU DÉSIR 2021 純米大吟醸  ,65c62d54876f110ab72a2961,OB,Japan,Sake,Junmai Daiginjo,NAS,,https://88bamboo.co/blogs/sake/kamoshibito-kuheiji-eau-du-desir-2021-junmai-daiginjo-%E9%86%B8%E3%81%97%E4%BA%BA-%E4%B9%9D%E5%B9%B3%E6%AC%A1-eau-du-desir-2021-%E7%B4%94%E7%B1%B3%E5%A4%A7%E5%90%9F%E9%86%B8-%E5%B1%B1%E7%94%B0%E9%8C%A6-50,-,,
Ranman Junmai Daiginjo Tamakine Hyakuden  爛漫 純米大吟醸　環稲 百田,65c62d54876f110ab72a2939,OB,Japan,Sake,Junmai Daiginjo,NAS,15.00%,https://88bamboo.co/blogs/sake/sakes-from-the-snow-akitameijo-brewery-ranman-junmai-daiginjo-tamakine-hyakuden-kaori-ranman-junmai-ginjo-ranman-bishu-tokubetsu-junmai-review,自社田栽培した秋田の酒米「百田」を伝統の製法で醸した純米大吟醸です。,,
Kaori Ranman Junmai Ginjo かおり  爛漫 純米吟醸,65c62d54876f110ab72a2939,OB,Japan,Sake,Junmai Ginjo,NAS,15.00%,https://88bamboo.co/blogs/sake/sakes-from-the-snow-akitameijo-brewery-ranman-junmai-daiginjo-tamakine-hyakuden-kaori-ranman-junmai-ginjo-ranman-bishu-tokubetsu-junmai-review,生産履歴がはっきりした地元湯沢雄勝産の酒造好適米「秋田酒こまち」を100%使用。,,
Bishu Ranman  Tokubetsu Junmai  爛漫　美酒 特別純米酒,65c62d54876f110ab72a2939,OB,Japan,Sake,Junmai ,NAS,15.00%,https://88bamboo.co/blogs/sake/sakes-from-the-snow-akitameijo-brewery-ranman-junmai-daiginjo-tamakine-hyakuden-kaori-ranman-junmai-ginjo-ranman-bishu-tokubetsu-junmai-review,原料米は当社と秋田県の共同研究による原料米「ぎんさん」を100%使用。酵母は秋田県が開発した純米酒・吟醸酒用酵母「AKITA雪国酵母」を使用し、丁寧に仕込んだ「特別純米酒」です。,,
Yamakawa Sakura Ichiban 3 Years Old 山川 さくらいちばん 3年,65c62d54876f110ab72a2ad2,OB,Japan,Shochu,Kusu (Aged Awamori),NAS,30.00%,https://88bamboo.co/blogs/features/inside-an-awamori-masterclass-the-oldest-living-japanese-spirit?_pos=2&_sid=d4ddcd17a&_ss=r,-,,
Sho Yaesen  尚 YAESEN,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Awamori,NAS,40.00%,https://88bamboo.co/blogs/features/inside-an-awamori-masterclass-the-oldest-living-japanese-spirit?_pos=2&_sid=d4ddcd17a&_ss=r,"Sho YAESEN is a unified brand of awamori spirits made by 12 awamori manufacturers in Okinawa, which allows you to enjoy the different flavors of each distillery. Triple distillation, the new production method, gives it a distinct aroma and taste, and this bottle has been highly evaluated by experts as “the spirits of the one and only”. It is perfect for making cocktails. ",,
Yaesen 30 八重泉 30,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Awamori,NAS,30.00%,-,"Yaesen is awamori spirits that has been loved and nurtured by local people in Ishigaki Island since started. It is an excellent product that can be said as the heart of Yaesen collection, which has been through extensive trial and error for over 65 years since founded. Please enjoy the stout and robust aroma, crisp and well-balanced taste, and deep sweetness brought by black koji mold and the Ishigaki’s traditional direct-fire distillation method.",,
Yaesen Kuroshinju 八重泉 黒真珠,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Awamori,NAS,43.00%,-,"Kuroshinju (Black Pearl) is awamori spirits made with black koji mold and distilled in direct-fire by the local method which has been handed down from long ago in Ishigaki Island. It is made from a blend of aged and new awamori to increase its firm texture and deep flavor. This bottle has won many awards at awamori competitions. It is an excellent product and recommended for true sake lovers. You will enjoy its gentle, mild tone and subtle sweetness.",,
Yaesen Gunka Hoshi 八重泉 群か星,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Awamori,NAS,25.00%,-,群か星は、沖縄県内限定販売の泡盛です。石垣島の国立天文台(むりかぶし天文台)の麓に蔵元があることにちなんで命名されました。低い温度で蒸留されており、フルーティでスッキリした味わいが特長です。沖縄にいらっしゃった際に是非お求めください。沖縄県内 限定販売のため、本サイトからご購入いただくことはできません。,,
Yaesen Shima Urara 八重泉 島うらら,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Awamori,NAS,25.00%,-,"Shima Urara is awamori spirits carefully made from rice which has been grown with upmost care in rich nature of Ishigaki. It is available in 720ml and 1800ml sizes. It is refreshing, smooth, fruity, and very easy to drink. It is perfect as a drink during meals and goes well with fried foods such as tempura.",,
Yaesen Kusu 八重泉 古酒,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Kusu (Aged Awamori),NAS,44.00%,-,古酒八重泉は、石垣島に伝わる直火式蒸留と黒麹仕込みによる原酒を3年間寝かせた泡盛です。新たな挑戦で生まれた泡盛で、サイズは300ml、720ml、1800mlがあります。古酒ならではの、沈むような密やかで不思議さのある香りと余韻の長いまろやかな味わいをお楽しみいただけます。,,
Yaesen Taruchozo 八重泉  樽貯蔵,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Awamori,NAS,43.00%,-,"Yaesen Taruchozo (Barrel Storage) is awamori spirits stored to mature in oak barrels for a long time; the original awamori is distilled in direct-fire. It is nick named “Green Bottle” by local people in Ishigaki. This excellent bottle made by the local traditional kiln distillation method and the industry’s pioneering barrel storage technique symbolizes the production of Yaesen, in other words, perfect combination of tradition and innovation. The overwhelming aroma is a result of the complete blending of barrel and awamori aromas. Please enjoy the well-balanced blend of the five flavors.",,
Yaesen Kanmuriwashi Kusu 八重泉 古酒かんむり鷲  ,65c62d54876f110ab72a2ad0,OB,Japan,Shochu,Kusu (Aged Awamori),NAS,42.00%,-,古酒かんむり鷲は、南ぬ島石垣島空港限定販売の泡盛です。石垣島産のひとめぼれで造られた泡盛です。お米は泡盛の原料タイ米と比べて水分量が多いため、麹の捌きが難しいと試行錯誤して生まれました。華やかさとのどごし後の甘さが特長です。石垣島の空港で是非お求めください。 南ぬ島石垣島空港 限定販売のため、本サイトからご購入いただくことはできません。,,
Wakashio Rose Wine Yeast New Pot Imo Shochu 2023,65c62d54876f110ab72a2aba,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,-,,
Wakashio GLOWEP4 Never Stop The Story 若潮 GLOWEP4 - Never Stop The Story -,65c62d54876f110ab72a2aba,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,"2021年で4年目となる""GLOW episode04 -NEVER STOP THE STORY-""。「コロナ禍のような逆境の中でも、一人ひとりが前向きに自分の道を進んでいこう」という思いを込めて作りました。",,
Tasaki Satsuma Tanabata White Koji Shikomi 田崎 白麹仕込み 薩摩 七夕,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,鹿児島の大地ですくすくと育ったさつま芋、黄金千貫を、白麹を使って仕込みました。芋の蒸れた典型的な香りに、ナッツのような熟成香と、甘さの中にもシャープな香りがほんのりと鼻腔をくすぐります。芋の旨味が生かされた、まろやかでコクのあるソフトな味わい。いくら飲んでも飲み飽きない、昔ながらの熟成いも焼酎です。,,
Tasaki Satsuma Tanabata Black Koji Shikomi 田崎 黒麹仕込み 薩摩 黒七夕,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,厳選された黄金千貫を使い、ひときわ味の冴える黒麹で仕込みました。黒麹ならではの表情豊かでボディのしっかりとした風味は、水割りやお湯割に相性が抜群。熟成させたことで、とろりとした甘みとほのかな大人のあじわいに仕上がりました。杜氏のこだわり香り立つ、熟成いも焼酎です。,,
Tasaki Onibi White Koji Shikomi 田崎 白麹仕込み 鬼火,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,契約農家で栽培された「鹿児島県産紫芋」を、じっくり時間をかけて焼き上げました。香りと甘みが強い焼き芋を、上質な天然水と、丁寧に造られた麹と混ぜ合わせ、蔵人たちの手によって鮮やかな紫色のモロミへ。焼き芋焼酎ならではの、甘みと香りをお楽しみください。,,
Tasaki Kuro Onibi White Koji Shikomi 田崎 白麹仕込み 黒鬼火,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,こだわりの紫芋をじっくりと焼いて、仕込みました。すっきりしたのどごしの中にも、焼き芋特有の香りとコクの深さ。まろやかさを醸し出す、黒麹仕込み。ほのかに甘みの残るあと味のよさ。今、飲みたい、今飲ませたい熟成焼いも焼酎です。,,
Tasaki Kurasuishou White and Black Koji Ryo Shikomi Satsuma 田崎 白麹・黒麹両仕込み 薩摩 蔵酔笑 ,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,『白麹』と『黒麹』の合わせ持つ特徴を、じっくり醸し出しました。白麹のすっきりとした口あたりの中にも、黒麹特有のふくよかな広がり、深い味わい。『ひとくち飲めばにっこり笑顔、ほろ酔い気分で楽しんで欲しい』そんな蔵人の想いが込められた、本格熟成いも焼酎です。,,
Tasaki Senya no Yume White Koji Shikomi 田崎 白麹仕込み 千夜の夢,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,豊潤な清水に、吟味を重ねたさつま芋を使用した原酒を、じっくりと熟成させること一〇〇〇日。「もっと旨く、更に味に深みを」と、千日の夜を経て、永い眠りより覚めました。芋独特のクセを押さえ、口当たりソフトでなめらかな仕上がり。快い香りが柔らかく、角がとれた深い味わい。ひとくち飲めば夢見心地を誘う、悠久の時に思いを馳せる熟成いも焼酎です。,,
Tasaki Gosai Genshu 田崎 五彩原酒,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,37.00%,-,5種類の鹿児島県産の芋を厳選し、杜氏が絶妙にブレンドしました。,,
Tasaki Hiyaku Suitan 田崎 碧酔譚,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,35.00%,-,蔵で熟成させた貯蔵芋を、エクセレント白麹で低温発酵により仕込みました。手掬いで丁寧に濾過することで、芋ならではの旨みを残しながら、3年以上寝かせたことでまろやかな仕上がりに。多彩なコクを感じるロックから、香り際立つお湯割りなど、お好みの飲み方でお楽しみいただけます。,,
Tasaki Onibi Annou Imo Shikomi Kusu 田崎 安納芋仕込み 古酒 鬼火,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,32.00%,-,安納芋を、炭火でじっくり焼いて仕込みました。かめ壷で貯蔵・熟成することで、類稀なるふくよかな香りと、まろやかな甘味を醸し出しました。市来焼酎の伝統を受け継ぐ、昔ながらの石蔵の麹室で造った米麹で、丹念に仕込みました。原料と造りにこだわった、本格焼酎ならではの香りと甘味をお楽しみください。,,
Tasaki Kuro Onibi Kametsubo Chozo Kusu 田崎 かめ壷貯蔵 古酒 くろ鬼火 ,65c62d54876f110ab72a2aa6,OB,Japan,Shochu,Imo (Sweet Potato),NAS,35.00%,-,こだわりの種子島紫いもを、炭火でじっくり焼いて黒麹で仕込みました。かめ壷で貯蔵・熟成することで、類稀な香りと深いコク、まろやかな甘味を醸し出しました。今飲みたい、今飲ませたい『熟成屋』田崎酒造の渾身のひと品をどうぞご堪能ください。,,
Taragawa 10 Year Kuon 十年古酒　久遠 ,65c62d54876f110ab72a2aa7,OB,Japan,Shochu,Kusu (Aged Awamori),10,35.00%,https://88bamboo.co/blogs/features/inside-an-awamori-masterclass-the-oldest-living-japanese-spirit?_pos=2&_sid=d4ddcd17a&_ss=r,Blended 10 years aged special Awamori. Soft and aroma with elegant hint of cacao.,,
Tamano Hikari 29 Rice Shochu 29 玉乃光 29 (にじゅうきゅう),65c62d54876f110ab72a2aa4,OB,Japan,Shochu,Kome (Rice),NAS,25.00%,-,悠久の時間が育んだ屋久杉の重厚な香りとドライですっきりした味わいが、あらゆる肉料理にぴったりの本格米焼酎を実現しました。,,
Tamano Hikari Manekitsune Rice Shochu 玉乃光 まねきつね,65c62d54876f110ab72a2aa4,OB,Japan,Shochu,Kome (Rice),NAS,30.00%,-,京都・伏見のお土産としてご好評をいただいている米焼酎「まねきつね」。福招く焼酎をどうぞ。,,
Towari Soba Shochu そば焼酎「十割」,65c62d54876f110ab72a2aa2,OB,Japan,Shochu,Soba (Buckwheat),NAS,25.00%,-,そば焼酎は、そばを原料とする焼酎ではありますが、麹には“麦麹”や“米麹”が使用されることが多くなっております。その理由は、そばの実で麹を造ると種皮は非常に硬く、また、蒸すと表面の粘性が高くなり過ぎる性質があり、麹菌の付着と菌糸の生育が難しい為です。当社は、独自技術により、“そば麹”の製造に成功（特許4371408号）。この“そば麹”を使用することで、今までにない、そば原料100％のそば焼酎が実現したのです。それが、そば焼酎「十割（とわり）」です。他の原料の風味が邪魔しない、そば本来の爽やかな香りとおだやかな甘みが楽しめます。 ,,
Wakashi no Kun Shisho Shochu しそ焼酎「若紫ノ君」,65c62d54876f110ab72a2aa2,OB,Japan,Shochu,Shisho (Perilla) ,NAS,20.00%,-,こだわったのは、“香り”です。しその爽やかな香りをより鮮明に、際立たせることを念頭に置いて商品造りを始めました。しかし、しその香りを際立たせると、土っぽさや青臭さも同時に出てしまうという問題がありました。食材としてしその生葉を使用する場合、“塩もみ”等の方法でアク抜きによって、青臭さを抑えることが一般的ですが、本格焼酎造りにおいては、塩を使用することは出来ません。しかし、独自技術により、しその生葉の香りを活かしつつ、青臭さを取ることに成功。今までにない、しその爽やかな香りがきわだつしそ焼酎が実現しました。それがしそ焼酎「若紫ノ君」です。今までにない、香り豊かな味わいが楽しめます。 ,,
Takara Shochu 宝焼酎,65c62d54876f110ab72a2aa2,OB,Japan,Shochu,Undisclosed,NAS,25.00%,-,"Shochu was first made in Japan in 1910, using the continuous-type distillation method from Europe. The beginnings of ""Takara Shochu"" launched in 1912 with the Kanto region commercial release of this shochu under the brand name ""Takara"" (represented by a kanji logo). It garnered popularity among fans of new innovations and displayed explosive sales especially in Tokyo. Moving forward, Takara Shochu producer Takara Shuzo continued to refine their technology along with the current of the times, and always strove to improve quality. Amidst the development of shochu with an assortment of different flavors, Takara Shochu continued to evolve. In 2022, Takara Shochu welcomed its 110-year anniversary since its original release. ",,
Takara Gokujo Shochu 宝焼酎 極上,65c62d54876f110ab72a2aa2,OB,Japan,Shochu,Undisclosed,NAS,25.00%,-,https://www.takarashuzo.co.jp/products/shochu/takarashochu/lineup/gokujo-takara-shochu.html,,
The SG Shochu Kome,65c62d54876f110ab72a2a9f,IB,Japan,Shochu,Kome (Rice),NAS,40.00%,https://88bamboo.myshopify.com/blogs/everything-nice/shingo-gokans-sg-shochus-imo-kome-mugi-full-set?_pos=1&_sid=499f9a142&_ss=r,"A slow, patient fermentation at a low temperature allows for the development of fruity and complex ginjo aromas in the mash. In the world of sake, floral and fruity esters are born from a style of fermenation known as ginjo. Certain yeasts are used in conjunction with a long, low-temperature fermentation to develop delicate floral and sweet aromas. The resulting spirit is characterized by notes of apple and pineapple, bringing out a tantalizing gentle profile.    ",,
Kuraji Ayamurasaki White Kojiくじらのボトル 綾紫白麹,65c62d54876f110ab72a2aa0,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,アヤムラサキ芋を原料に、白麹・常圧蒸留で仕込みました。紫芋独特のアントシアニン由来の香り、やわらかな味わいがしっかりと広がります。お湯割りでは熟成の柔らかさがより強調されます。垂水温泉水「寿鶴」を使用。,,
Kuraji Ayamurasaki Black Koji くじらのボトル 綾紫黒麹,65c62d54876f110ab72a2aa0,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,アヤムラサキ芋を原料に、黒麹・常圧蒸留で仕込みました。紫芋独特のアントシアニン由来の香りが強く香り、黒麹らしいまろやかな味わいが広がります。お湯割りでは熟成の柔らかさがより強調されます。垂水温泉水「寿鶴」を使用。,,
Taikai Shosho 大海蒼々,65c62d54876f110ab72a2aa0,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,温度管理が難しい白麹L型菌という麹を用いて低温で醸しました。青いバナナを思わせる香りとふかしたての芋のようなまろやかな甘みが特徴です。,,
Taikai Apple-Rance 大海 アップルランス,65c62d54876f110ab72a2aa0,OB,Japan,Shochu,Imo (Sweet Potato),NAS,25.00%,-,大海酒造杜氏・大牟禮良行が日本酒蔵との交流により学んだもろみの低温発酵。それは長年の実践経験の中で、より香り高い焼酎を造る技術として進化してきました。そして今回、その技術に特殊な香り酵母を応用することで、芋焼酎らしからぬ吟醸香と甘みをもつ焼酎ができあがりました。この焼酎の吟醸香と甘みを味わうのに最適なアルコール度数として、あえて少し高めの27％に設定してあります。「アップルランス（apple-rance）」という名は「アップル」と「ラ・フランス」の言葉を合わせた造語ですが、その名のとおり、りんごや洋梨のような華やかな香りが楽しめる焼酎となっています。割り水には超軟水の垂水温泉水「寿鶴」を使用することで口あたりをなめらかに。ロックや水割り、炭酸割りでどうぞ。,,
Shinzato Ryukyu Premium 新里　琉球プレミアム古酒,65c62d54876f110ab72a2a8b,OB,Japan,Shochu,Kusu (Aged Awamori),NAS,35.00%,https://88bamboo.co/blogs/features/inside-an-awamori-masterclass-the-oldest-living-japanese-spirit?_pos=2&_sid=d4ddcd17a&_ss=r,古酒琉球プレミアムは、新里酒造通販ショップで一番リピートの高い泡盛です。この古酒の特徴は独自のブレンド技術によって生み出された香り。初めはフルーティーな果実の様な香りがしてその後に蜂蜜のような甘い香りが上ってきます。おすすめの飲み方として「ロック」でチョビチョビ飲みです。ロックで飲むことで古酒琉球プレミアム本来の味がダイレクトに堪能できます。また食中だと5対5の水割りがおすすめです。水割りだとどんな料理とも相性が良く、ぐびぐび飲めます。ぜひ、お試しください。,,
Shinzato Ryukyu GOLD 30% 新里　琉球GOLD30度,65c62d54876f110ab72a2a8b,OB,Japan,Shochu,Awamori,NAS,30.00%,-,琉球ゴールドは、いつもの晩酌酒として飲んでいただきたい泡盛です。 甕貯蔵古酒をブレンドする事によりバニラのような甘い香りと なめらかな舌触りが特徴となっています。 おすすめの飲み方は「水割り」琉球ゴールド６、水４の割合がバランスが取れてより一層美味しく飲めます。,,
Shinzato Coffee And Awamori Spirits 新里 珈琲泡盛　コーヒースピリッツ,65c62d54876f110ab72a2a8b,OB,Japan,Shochu,Flavoured,NAS,30.00%,-,この【珈琲泡盛】コーヒースピリッツは、地元沖縄市の珈琲 専門店「ヨシモトコーヒー」と珈琲豆の種類や焙煎 炒り方を泡盛との相性を追求してして開発しました。焙煎したての珈琲豆で水出し珈琲を作り、この水出し珈琲と泡盛をブレンドしているので珈琲本来の香りを堪能できます。珈琲焼酎好きも唸らせたコーヒースピリッツをぜひ、一度お試し下さい。。,,
Shinzato Terroir Isenajima Rice Joatsu (Normal Pressure) 新里 いぜなじまのお米でつくった泡盛 (常圧) ,65c62d54876f110ab72a2a8b,OB,Japan,Shochu,Awamori,NAS,30.00%,-,フランスではワイン造りにおいて、その土地、気候や土壌、地形を生かしたブドウを栽培し、 ワインを造る”テロワール”という考え方があります。 『琉球泡盛プロジェクト』では国や県の支援のもと官民一体となり 泡盛のブランド価値を高めるため、地域に根ざした原料を使用する”テロワール”が推奨され 新里酒造も『琉球泡盛プロジェクト』に賛同し”テロワール”という考え方を取り入れました。 そして伊是名島で栽培したお米を使い、気候風土を生かし県産100％の泡盛造りを実現しました。 ①いぜなじまのお米でつくった泡盛（常圧） 　１００度で蒸留した濃厚な原酒をあえてろ過をせずに瓶に詰め込んだ泡盛 ②いぜなじまのお米でつくった泡盛（減圧） 　５０度で蒸留してモロミ本来のフルーティーな香りをそのまま瓶に詰め込んだ泡盛,,
Shinzato Terroir Isenajima Rice Gennatsu(Reduced Pressure) 新里 いぜなじまのお米でつくった泡盛 (減圧) ,65c62d54876f110ab72a2a8b,OB,Japan,Shochu,Awamori,NAS,30.00%,-,フランスではワイン造りにおいて、その土地、気候や土壌、地形を生かしたブドウを栽培し、 ワインを造る”テロワール”という考え方があります。 『琉球泡盛プロジェクト』では国や県の支援のもと官民一体となり 泡盛のブランド価値を高めるため、地域に根ざした原料を使用する”テロワール”が推奨され 新里酒造も『琉球泡盛プロジェクト』に賛同し”テロワール”という考え方を取り入れました。 そして伊是名島で栽培したお米を使い、気候風土を生かし県産100％の泡盛造りを実現しました。 ①いぜなじまのお米でつくった泡盛（常圧） 　１００度で蒸留した濃厚な原酒をあえてろ過をせずに瓶に詰め込んだ泡盛 ②いぜなじまのお米でつくった泡盛（減圧） 　５０度で蒸留してモロミ本来のフルーティーな香りをそのまま瓶に詰め込んだ泡盛,,
Izena Ryukyu Glass Kanemaru 伊是名 手作り琉球ガラス　金丸,65c62d54876f110ab72a2a8b,OB,Japan,Shochu,Kusu (Aged Awamori),10,43.00%,-,10年古酒金丸を手作り琉球ガラスに詰めた逸品。島から見る夕日を思わせる色合いが贈り物としても喜ばれる泡盛です。,,
The SG Shochu Imo ,65c62d54876f110ab72a2a87,IB,Japan,Shochu,Imo (Sweet Potato),NAS,38.00%,https://88bamboo.myshopify.com/blogs/everything-nice/shingo-gokans-sg-shochus-imo-kome-mugi-full-set?_pos=1&_sid=499f9a142&_ss=r,"A sweet potato's flavor is inextricably bound to its freshness. The essence of sweet potato shochu lies in the freshness of the base ingredient. The SG Shochu IMO uses locally grown sweet potatoes which are transported to the distillery immediately upon harvest. Unlike dried grains, every hour post-harvest impacts the freshness and vibrancy of flavor in the final product. IMO takes pride in the tight-knit community of local farmers that make such production possible.     ",,
